risk_id,parcel_id,waterbody_distance_m,flood_risk,environmental_clearance
ENV-048647,PAR-048647,109.9,Low,Approved
ENV-048648,PAR-048648,164.9,High,Pending
ENV-048649,PAR-048649,213.6,High,Not Required
ENV-048650,PAR-048650,109.8,Low,Not Required
ENV-048651,PAR-048651,258.1,Medium,Pending
ENV-048652,PAR-048652,289.5,Low,Pending
ENV-048653,PAR-048653,143.9,Medium,Pending
ENV-048654,PAR-048654,75.9,Medium,Not Required
ENV-048655,PAR-048655,512.4,Medium,Pending
ENV-048656,PAR-048656,207.3,Low,Approved
ENV-048657,PAR-048657,263.0,Low,Not Required
ENV-048658,PAR-048658,166.9,Low,Not Required
ENV-048659,PAR-048659,198.8,High,Approved
ENV-048660,PAR-048660,342.2,Low,Approved
ENV-048661,PAR-048661,627.6,Low,Approved
ENV-048662,PAR-048662,35.9,Low,Pending
ENV-048663,PAR-048663,120.6,Low,Approved
ENV-048664,PAR-048664,15.7,Low,Approved
ENV-048665,PAR-048665,351.8,High,Not Required
ENV-048666,PAR-048666,143.5,High,Pending
ENV-048667,PAR-048667,169.3,Low,Approved
ENV-048668,PAR-048668,152.3,Low,Not Required
ENV-048669,PAR-048669,119.2,High,Not Required
ENV-048670,PAR-048670,56.9,Medium,Approved
ENV-048671,PAR-048671,14.2,High,Approved
ENV-048672,PAR-048672,33.2,Medium,Approved
ENV-048673,PAR-048673,79.6,Low,Not Required
ENV-048674,PAR-048674,169.0,Low,Approved
ENV-048675,PAR-048675,240.6,Low,Not Required
ENV-048676,PAR-048676,904.7,Low,Not Required
ENV-048677,PAR-048677,278.3,Low,Approved
ENV-048678,PAR-048678,309.7,Low,Not Required
ENV-048679,PAR-048679,136.8,Low,Not Required
ENV-048680,PAR-048680,262.0,Low,Not Required
ENV-048681,PAR-048681,64.6,Low,Pending
ENV-048682,PAR-048682,258.0,Low,Approved
ENV-048683,PAR-048683,549.1,Low,Pending
ENV-048684,PAR-048684,220.4,Low,Pending
ENV-048685,PAR-048685,63.1,Low,Approved
ENV-048686,PAR-048686,75.4,Low,Not Required
ENV-048687,PAR-048687,1153.5,High,Not Required
ENV-048688,PAR-048688,75.0,Low,Not Required
ENV-048689,PAR-048689,240.7,Low,Not Required
ENV-048690,PAR-048690,173.8,Low,Approved
ENV-048691,PAR-048691,20.6,Low,Not Required
ENV-048692,PAR-048692,10.3,Medium,Pending
ENV-048693,PAR-048693,121.9,Medium,Pending
ENV-048694,PAR-048694,258.2,Low,Not Required
ENV-048695,PAR-048695,186.6,Medium,Not Required
ENV-048696,PAR-048696,68.3,Medium,Not Required
ENV-048697,PAR-048697,50.7,Low,Approved
ENV-048698,PAR-048698,29.0,Medium,Not Required
ENV-048699,PAR-048699,106.4,Low,Approved
ENV-048700,PAR-048700,370.5,Low,Approved
ENV-048701,PAR-048701,708.2,Low,Approved
ENV-048702,PAR-048702,88.4,Low,Approved
ENV-048703,PAR-048703,161.2,Medium,Not Required
ENV-048704,PAR-048704,664.3,Medium,Not Required
ENV-048705,PAR-048705,154.5,Low,Not Required
ENV-048706,PAR-048706,177.4,Low,Approved
ENV-048707,PAR-048707,66.6,Low,Pending
ENV-048708,PAR-048708,126.5,Low,Not Required
ENV-048709,PAR-048709,121.8,Low,Approved
ENV-048710,PAR-048710,104.6,Low,Not Required
ENV-048711,PAR-048711,211.4,Low,Approved
ENV-048712,PAR-048712,134.1,Low,Not Required
ENV-048713,PAR-048713,94.8,High,Not Required
ENV-048714,PAR-048714,410.7,Medium,Approved
ENV-048715,PAR-048715,72.7,Medium,Approved
ENV-048716,PAR-048716,60.7,Low,Not Required
ENV-048717,PAR-048717,231.4,Low,Approved
ENV-048718,PAR-048718,63.9,Low,Not Required
ENV-048719,PAR-048719,152.2,Low,Not Required
ENV-048720,PAR-048720,253.2,Low,Approved
ENV-048721,PAR-048721,172.3,High,Not Required
ENV-048722,PAR-048722,150.1,Low,Not Required
ENV-048723,PAR-048723,86.3,Medium,Not Required
ENV-048724,PAR-048724,174.5,Low,Not Required
ENV-048725,PAR-048725,75.4,Medium,Not Required
ENV-048726,PAR-048726,104.0,Low,Not Required
ENV-048727,PAR-048727,99.8,Low,Not Required
ENV-048728,PAR-048728,32.6,Low,Approved
ENV-048729,PAR-048729,158.5,Low,Not Required
ENV-048730,PAR-048730,142.4,Low,Approved
ENV-048731,PAR-048731,312.5,Low,Approved
ENV-048732,PAR-048732,125.4,Low,Pending
ENV-048733,PAR-048733,73.7,Low,Not Required
ENV-048734,PAR-048734,1202.3,Low,Approved
ENV-048735,PAR-048735,180.8,High,Not Required
ENV-048736,PAR-048736,43.9,Low,Not Required
ENV-048737,PAR-048737,681.7,Low,Approved
ENV-048738,PAR-048738,379.5,Low,Not Required
ENV-048739,PAR-048739,41.9,Low,Not Required
ENV-048740,PAR-048740,66.3,Medium,Not Required
ENV-048741,PAR-048741,196.8,Low,Not Required
ENV-048742,PAR-048742,140.9,Low,Not Required
ENV-048743,PAR-048743,12.5,Low,Approved
ENV-048744,PAR-048744,268.4,Low,Not Required
ENV-048745,PAR-048745,99.4,Low,Pending
ENV-048746,PAR-048746,459.5,Low,Not Required
ENV-048747,PAR-048747,33.5,Low,Approved
ENV-048748,PAR-048748,33.2,Medium,Not Required
ENV-048749,PAR-048749,211.4,Low,Approved
ENV-048750,PAR-048750,137.0,Medium,Not Required
ENV-048751,PAR-048751,175.8,Low,Pending
ENV-048752,PAR-048752,38.5,Low,Not Required
ENV-048753,PAR-048753,87.4,High,Approved
ENV-048754,PAR-048754,553.3,Low,Pending
ENV-048755,PAR-048755,247.2,Low,Not Required
ENV-048756,PAR-048756,434.2,Medium,Approved
ENV-048757,PAR-048757,121.3,Medium,Not Required
ENV-048758,PAR-048758,780.9,Low,Not Required
ENV-048759,PAR-048759,276.1,Low,Not Required
ENV-048760,PAR-048760,63.1,Medium,Approved
ENV-048761,PAR-048761,201.0,Low,Not Required
ENV-048762,PAR-048762,38.4,Low,Not Required
ENV-048763,PAR-048763,449.9,High,Not Required
ENV-048764,PAR-048764,198.7,Low,Not Required
ENV-048765,PAR-048765,68.0,Low,Approved
ENV-048766,PAR-048766,59.8,High,Not Required
ENV-048767,PAR-048767,68.2,Medium,Approved
ENV-048768,PAR-048768,144.0,Low,Not Required
ENV-048769,PAR-048769,65.8,Medium,Approved
ENV-048770,PAR-048770,123.4,Low,Not Required
ENV-048771,PAR-048771,468.2,Medium,Approved
ENV-048772,PAR-048772,81.2,High,Not Required
ENV-048773,PAR-048773,130.8,Medium,Not Required
ENV-048774,PAR-048774,51.5,Low,Approved
ENV-048775,PAR-048775,24.9,Low,Not Required
ENV-048776,PAR-048776,128.0,High,Not Required
ENV-048777,PAR-048777,757.1,Low,Not Required
ENV-048778,PAR-048778,170.5,Low,Pending
ENV-048779,PAR-048779,36.6,Medium,Not Required
ENV-048780,PAR-048780,68.7,High,Not Required
ENV-048781,PAR-048781,104.3,Low,Not Required
ENV-048782,PAR-048782,48.9,Low,Not Required
ENV-048783,PAR-048783,245.9,Medium,Approved
ENV-048784,PAR-048784,195.6,High,Not Required
ENV-048785,PAR-048785,241.7,Low,Not Required
ENV-048786,PAR-048786,33.4,Medium,Not Required
ENV-048787,PAR-048787,486.7,Low,Approved
ENV-048788,PAR-048788,376.2,Low,Not Required
ENV-048789,PAR-048789,106.4,Low,Approved
ENV-048790,PAR-048790,268.0,Low,Approved
ENV-048791,PAR-048791,415.8,Low,Not Required
ENV-048792,PAR-048792,340.1,Low,Pending
ENV-048793,PAR-048793,1179.4,Medium,Not Required
ENV-048794,PAR-048794,132.4,Medium,Not Required
ENV-048795,PAR-048795,96.7,Low,Not Required
ENV-048796,PAR-048796,12.1,Medium,Approved
ENV-048797,PAR-048797,152.9,Low,Pending
ENV-048798,PAR-048798,352.8,Low,Approved
ENV-048799,PAR-048799,57.7,Low,Not Required
ENV-048800,PAR-048800,91.4,Low,Not Required
ENV-048801,PAR-048801,492.8,Low,Not Required
ENV-048802,PAR-048802,78.1,Low,Not Required
ENV-048803,PAR-048803,80.5,Low,Approved
ENV-048804,PAR-048804,164.2,Low,Not Required
ENV-048805,PAR-048805,119.4,High,Not Required
ENV-048806,PAR-048806,91.1,Low,Pending
ENV-048807,PAR-048807,35.9,High,Not Required
ENV-048808,PAR-048808,369.9,Medium,Approved
ENV-048809,PAR-048809,111.4,Low,Not Required
ENV-048810,PAR-048810,183.9,Low,Approved
ENV-048811,PAR-048811,25.2,Medium,Not Required
ENV-048812,PAR-048812,329.4,Low,Approved
ENV-048813,PAR-048813,86.9,Medium,Approved
ENV-048814,PAR-048814,31.5,Low,Not Required
ENV-048815,PAR-048815,61.2,Medium,Approved
ENV-048816,PAR-048816,28.8,High,Approved
ENV-048817,PAR-048817,152.6,Medium,Not Required
ENV-048818,PAR-048818,479.9,Low,Not Required
ENV-048819,PAR-048819,211.5,Low,Pending
ENV-048820,PAR-048820,90.8,Low,Not Required
ENV-048821,PAR-048821,590.3,High,Not Required
ENV-048822,PAR-048822,582.4,Medium,Not Required
ENV-048823,PAR-048823,101.0,Medium,Approved
ENV-048824,PAR-048824,297.9,Medium,Not Required
ENV-048825,PAR-048825,18.8,High,Approved
ENV-048826,PAR-048826,49.3,Medium,Not Required
ENV-048827,PAR-048827,130.4,Low,Approved
ENV-048828,PAR-048828,41.1,Low,Not Required
ENV-048829,PAR-048829,110.8,Medium,Approved
ENV-048830,PAR-048830,28.2,Low,Approved
ENV-048831,PAR-048831,382.8,Low,Not Required
ENV-048832,PAR-048832,71.5,Low,Not Required
ENV-048833,PAR-048833,366.1,Low,Pending
ENV-048834,PAR-048834,383.6,Medium,Not Required
ENV-048835,PAR-048835,247.8,Low,Approved
ENV-048836,PAR-048836,108.9,Medium,Not Required
ENV-048837,PAR-048837,214.6,High,Approved
ENV-048838,PAR-048838,189.8,Medium,Not Required
ENV-048839,PAR-048839,138.3,Medium,Not Required
ENV-048840,PAR-048840,160.6,High,Not Required
ENV-048841,PAR-048841,50.8,Low,Approved
ENV-048842,PAR-048842,36.0,Low,Not Required
ENV-048843,PAR-048843,207.3,Medium,Not Required
ENV-048844,PAR-048844,127.1,High,Approved
ENV-048845,PAR-048845,162.1,Medium,Pending
ENV-048846,PAR-048846,85.5,Medium,Not Required
ENV-048847,PAR-048847,41.2,Medium,Not Required
ENV-048848,PAR-048848,97.3,Low,Pending
ENV-048849,PAR-048849,51.4,Low,Pending
ENV-048850,PAR-048850,131.6,Low,Not Required
ENV-048851,PAR-048851,42.7,Low,Pending
ENV-048852,PAR-048852,57.4,High,Not Required
ENV-048853,PAR-048853,221.2,Low,Approved
ENV-048854,PAR-048854,245.0,Low,Not Required
ENV-048855,PAR-048855,207.4,Low,Not Required
ENV-048856,PAR-048856,34.7,Medium,Not Required
ENV-048857,PAR-048857,76.8,Low,Pending
ENV-048858,PAR-048858,143.7,Low,Not Required
ENV-048859,PAR-048859,132.2,Medium,Approved
ENV-048860,PAR-048860,60.1,Medium,Approved
ENV-048861,PAR-048861,247.0,Low,Not Required
ENV-048862,PAR-048862,181.2,Low,Not Required
ENV-048863,PAR-048863,285.3,Medium,Pending
ENV-048864,PAR-048864,164.6,Low,Approved
ENV-048865,PAR-048865,117.3,Low,Not Required
ENV-048866,PAR-048866,44.1,Low,Pending
ENV-048867,PAR-048867,86.9,High,Not Required
ENV-048868,PAR-048868,332.6,High,Approved
ENV-048869,PAR-048869,375.9,Low,Pending
ENV-048870,PAR-048870,91.5,Low,Pending
ENV-048871,PAR-048871,484.4,High,Not Required
ENV-048872,PAR-048872,176.0,Low,Not Required
ENV-048873,PAR-048873,142.3,Low,Not Required
ENV-048874,PAR-048874,132.7,Low,Not Required
ENV-048875,PAR-048875,91.4,Low,Pending
ENV-048876,PAR-048876,35.5,High,Not Required
ENV-048877,PAR-048877,527.8,Low,Pending
ENV-048878,PAR-048878,325.1,Low,Not Required
ENV-048879,PAR-048879,754.2,Low,Not Required
ENV-048880,PAR-048880,259.8,High,Pending
ENV-048881,PAR-048881,308.6,Low,Not Required
ENV-048882,PAR-048882,1155.5,Low,Pending
ENV-048883,PAR-048883,72.8,Low,Approved
ENV-048884,PAR-048884,388.2,Low,Pending
ENV-048885,PAR-048885,1033.5,Low,Not Required
ENV-048886,PAR-048886,186.6,Low,Not Required
ENV-048887,PAR-048887,93.8,Low,Approved
ENV-048888,PAR-048888,146.1,Low,Approved
ENV-048889,PAR-048889,45.6,Medium,Pending
ENV-048890,PAR-048890,167.8,Low,Approved
ENV-048891,PAR-048891,283.0,High,Approved
ENV-048892,PAR-048892,116.6,Low,Not Required
ENV-048893,PAR-048893,2601.5,Low,Pending
ENV-048894,PAR-048894,308.6,Low,Not Required
ENV-048895,PAR-048895,272.0,Low,Approved
ENV-048896,PAR-048896,18.6,Low,Not Required
ENV-048897,PAR-048897,541.0,Low,Not Required
ENV-048898,PAR-048898,114.6,Low,Approved
ENV-048899,PAR-048899,159.7,Low,Not Required
ENV-048900,PAR-048900,437.3,Low,Approved
ENV-048901,PAR-048901,238.4,Low,Not Required
ENV-048902,PAR-048902,547.3,Medium,Approved
ENV-048903,PAR-048903,58.2,High,Approved
ENV-048904,PAR-048904,60.3,Low,Not Required
ENV-048905,PAR-048905,174.7,Low,Pending
ENV-048906,PAR-048906,92.7,Medium,Pending
ENV-048907,PAR-048907,107.1,Low,Not Required
ENV-048908,PAR-048908,52.0,Medium,Pending
ENV-048909,PAR-048909,613.8,Low,Approved
ENV-048910,PAR-048910,48.3,High,Not Required
ENV-048911,PAR-048911,74.7,Low,Approved
ENV-048912,PAR-048912,234.5,Medium,Pending
ENV-048913,PAR-048913,1070.1,Low,Not Required
ENV-048914,PAR-048914,271.0,High,Not Required
ENV-048915,PAR-048915,108.0,Low,Not Required
ENV-048916,PAR-048916,463.1,Medium,Not Required
ENV-048917,PAR-048917,89.5,High,Approved
ENV-048918,PAR-048918,61.4,Low,Pending
ENV-048919,PAR-048919,18.2,Low,Approved
ENV-048920,PAR-048920,610.7,Low,Not Required
ENV-048921,PAR-048921,14.2,Low,Not Required
ENV-048922,PAR-048922,108.6,Low,Approved
ENV-048923,PAR-048923,118.2,High,Approved
ENV-048924,PAR-048924,778.9,Medium,Not Required
ENV-048925,PAR-048925,55.0,Low,Not Required
ENV-048926,PAR-048926,58.2,Medium,Approved
ENV-048927,PAR-048927,95.0,Low,Pending
ENV-048928,PAR-048928,137.2,Low,Not Required
ENV-048929,PAR-048929,229.6,Medium,Not Required
ENV-048930,PAR-048930,67.9,Low,Not Required
ENV-048931,PAR-048931,644.7,Low,Not Required
ENV-048932,PAR-048932,37.6,Medium,Not Required
ENV-048933,PAR-048933,759.2,Medium,Not Required
ENV-048934,PAR-048934,291.4,High,Not Required
ENV-048935,PAR-048935,129.0,Low,Not Required
ENV-048936,PAR-048936,100.8,Medium,Not Required
ENV-048937,PAR-048937,686.9,Low,Approved
ENV-048938,PAR-048938,24.9,Medium,Approved
ENV-048939,PAR-048939,347.0,Low,Pending
ENV-048940,PAR-048940,25.6,Low,Pending
ENV-048941,PAR-048941,120.5,Low,Not Required
ENV-048942,PAR-048942,256.1,Low,Approved
ENV-048943,PAR-048943,179.8,High,Pending
ENV-048944,PAR-048944,51.8,Low,Approved
ENV-048945,PAR-048945,43.9,Low,Not Required
ENV-048946,PAR-048946,34.2,Low,Not Required
ENV-048947,PAR-048947,334.4,Low,Not Required
ENV-048948,PAR-048948,230.0,Low,Not Required
ENV-048949,PAR-048949,90.7,Medium,Approved
ENV-048950,PAR-048950,163.2,Low,Not Required
ENV-048951,PAR-048951,383.0,Low,Approved
ENV-048952,PAR-048952,202.7,Medium,Pending
ENV-048953,PAR-048953,1688.2,Low,Pending
ENV-048954,PAR-048954,64.9,Low,Pending
ENV-048955,PAR-048955,238.9,Low,Approved
ENV-048956,PAR-048956,598.0,Medium,Not Required
ENV-048957,PAR-048957,123.0,High,Not Required
ENV-048958,PAR-048958,446.9,Low,Not Required
ENV-048959,PAR-048959,88.2,Low,Not Required
ENV-048960,PAR-048960,44.5,Low,Approved
ENV-048961,PAR-048961,121.6,Low,Pending
ENV-048962,PAR-048962,106.0,Medium,Not Required
ENV-048963,PAR-048963,437.9,Low,Approved
ENV-048964,PAR-048964,236.7,Medium,Pending
ENV-048965,PAR-048965,452.9,Low,Approved
ENV-048966,PAR-048966,98.2,High,Not Required
ENV-048967,PAR-048967,916.0,Medium,Approved
ENV-048968,PAR-048968,145.5,Low,Approved
ENV-048969,PAR-048969,1903.5,Low,Not Required
ENV-048970,PAR-048970,369.6,Low,Not Required
ENV-048971,PAR-048971,649.6,Medium,Approved
ENV-048972,PAR-048972,41.5,Medium,Not Required
ENV-048973,PAR-048973,1327.9,Low,Not Required
ENV-048974,PAR-048974,150.9,Low,Approved
ENV-048975,PAR-048975,123.2,Medium,Pending
ENV-048976,PAR-048976,117.7,Low,Not Required
ENV-048977,PAR-048977,66.7,High,Approved
ENV-048978,PAR-048978,62.6,Low,Not Required
ENV-048979,PAR-048979,101.1,Medium,Not Required
ENV-048980,PAR-048980,67.8,Low,Not Required
ENV-048981,PAR-048981,85.9,High,Approved
ENV-048982,PAR-048982,251.1,Low,Not Required
ENV-048983,PAR-048983,221.0,Medium,Not Required
ENV-048984,PAR-048984,172.7,Low,Pending
ENV-048985,PAR-048985,124.1,Medium,Not Required
ENV-048986,PAR-048986,68.3,Medium,Approved
ENV-048987,PAR-048987,154.4,Low,Not Required
ENV-048988,PAR-048988,20.0,Low,Not Required
ENV-048989,PAR-048989,112.2,Low,Not Required
ENV-048990,PAR-048990,124.9,High,Not Required
ENV-048991,PAR-048991,95.1,Low,Not Required
ENV-048992,PAR-048992,118.6,Medium,Approved
ENV-048993,PAR-048993,347.4,Medium,Not Required
ENV-048994,PAR-048994,29.4,Medium,Not Required
ENV-048995,PAR-048995,116.8,Low,Not Required
ENV-048996,PAR-048996,530.7,Low,Approved
ENV-048997,PAR-048997,48.1,Medium,Not Required
ENV-048998,PAR-048998,87.0,Low,Not Required
ENV-048999,PAR-048999,91.2,Low,Not Required
ENV-049000,PAR-049000,130.6,Low,Approved
ENV-049001,PAR-049001,374.9,Low,Not Required
ENV-049002,PAR-049002,260.1,Medium,Pending
ENV-049003,PAR-049003,294.3,Medium,Not Required
ENV-049004,PAR-049004,36.8,Low,Not Required
ENV-049005,PAR-049005,484.5,Low,Approved
ENV-049006,PAR-049006,75.1,Low,Pending
ENV-049007,PAR-049007,417.6,Medium,Approved
ENV-049008,PAR-049008,221.6,Medium,Not Required
ENV-049009,PAR-049009,400.1,Low,Pending
ENV-049010,PAR-049010,64.8,Low,Approved
ENV-049011,PAR-049011,118.7,Low,Approved
ENV-049012,PAR-049012,108.3,Medium,Pending
ENV-049013,PAR-049013,115.5,Low,Not Required
ENV-049014,PAR-049014,43.7,Low,Not Required
ENV-049015,PAR-049015,203.2,High,Not Required
ENV-049016,PAR-049016,96.8,Low,Approved
ENV-049017,PAR-049017,68.3,Medium,Pending
ENV-049018,PAR-049018,41.4,Low,Not Required
ENV-049019,PAR-049019,106.6,Low,Approved
ENV-049020,PAR-049020,52.8,Low,Not Required
ENV-049021,PAR-049021,128.8,Low,Approved
ENV-049022,PAR-049022,317.9,High,Not Required
ENV-049023,PAR-049023,74.2,Low,Not Required
ENV-049024,PAR-049024,101.0,Medium,Approved
ENV-049025,PAR-049025,19.2,Low,Not Required
ENV-049026,PAR-049026,109.8,Low,Not Required
ENV-049027,PAR-049027,128.7,Medium,Not Required
ENV-049028,PAR-049028,406.6,Low,Approved
ENV-049029,PAR-049029,44.0,Low,Pending
ENV-049030,PAR-049030,72.5,Low,Not Required
ENV-049031,PAR-049031,47.8,Low,Approved
ENV-049032,PAR-049032,222.3,Medium,Not Required
ENV-049033,PAR-049033,550.9,Low,Approved
ENV-049034,PAR-049034,51.3,Low,Pending
ENV-049035,PAR-049035,144.0,Low,Not Required
ENV-049036,PAR-049036,482.3,Medium,Approved
ENV-049037,PAR-049037,45.2,High,Not Required
ENV-049038,PAR-049038,444.4,Medium,Pending
ENV-049039,PAR-049039,150.7,Medium,Not Required
ENV-049040,PAR-049040,110.8,Low,Not Required
ENV-049041,PAR-049041,40.1,Medium,Not Required
ENV-049042,PAR-049042,228.7,Low,Not Required
ENV-049043,PAR-049043,103.6,Low,Approved
ENV-049044,PAR-049044,238.0,Low,Not Required
ENV-049045,PAR-049045,463.0,Low,Approved
ENV-049046,PAR-049046,1326.1,Low,Not Required
ENV-049047,PAR-049047,341.6,Low,Not Required
ENV-049048,PAR-049048,25.5,Low,Pending
ENV-049049,PAR-049049,64.3,Low,Not Required
ENV-049050,PAR-049050,4.4,Low,Approved
ENV-049051,PAR-049051,234.8,Low,Not Required
ENV-049052,PAR-049052,1235.9,Medium,Pending
ENV-049053,PAR-049053,96.1,Medium,Approved
ENV-049054,PAR-049054,1287.4,High,Approved
ENV-049055,PAR-049055,205.3,Low,Not Required
ENV-049056,PAR-049056,61.2,Low,Pending
ENV-049057,PAR-049057,44.5,Medium,Approved
ENV-049058,PAR-049058,155.9,Medium,Not Required
ENV-049059,PAR-049059,42.3,Medium,Not Required
ENV-049060,PAR-049060,1106.4,Low,Approved
ENV-049061,PAR-049061,80.8,Low,Not Required
ENV-049062,PAR-049062,21.4,Medium,Not Required
ENV-049063,PAR-049063,74.5,Low,Pending
ENV-049064,PAR-049064,113.8,Medium,Not Required
ENV-049065,PAR-049065,218.8,Medium,Not Required
ENV-049066,PAR-049066,99.6,Medium,Not Required
ENV-049067,PAR-049067,114.6,Low,Not Required
ENV-049068,PAR-049068,364.9,Medium,Approved
ENV-049069,PAR-049069,43.4,Low,Not Required
ENV-049070,PAR-049070,166.5,Medium,Approved
ENV-049071,PAR-049071,172.3,Low,Approved
ENV-049072,PAR-049072,93.0,Low,Not Required
ENV-049073,PAR-049073,206.1,Low,Not Required
ENV-049074,PAR-049074,205.9,Low,Not Required
ENV-049075,PAR-049075,163.8,Medium,Not Required
ENV-049076,PAR-049076,536.7,Low,Approved
ENV-049077,PAR-049077,119.4,Medium,Not Required
ENV-049078,PAR-049078,248.9,Medium,Not Required
ENV-049079,PAR-049079,35.7,Low,Not Required
ENV-049080,PAR-049080,151.9,Low,Approved
ENV-049081,PAR-049081,42.3,Low,Not Required
ENV-049082,PAR-049082,66.7,Low,Approved
ENV-049083,PAR-049083,76.7,Medium,Not Required
ENV-049084,PAR-049084,239.2,Low,Not Required
ENV-049085,PAR-049085,67.9,Medium,Not Required
ENV-049086,PAR-049086,394.0,Medium,Approved
ENV-049087,PAR-049087,115.1,Low,Not Required
ENV-049088,PAR-049088,79.7,High,Not Required
ENV-049089,PAR-049089,134.4,Low,Approved
ENV-049090,PAR-049090,16.3,Medium,Approved
ENV-049091,PAR-049091,258.3,Low,Approved
ENV-049092,PAR-049092,22.8,Low,Not Required
ENV-049093,PAR-049093,188.1,High,Pending
ENV-049094,PAR-049094,11.7,Medium,Approved
ENV-049095,PAR-049095,88.7,High,Not Required
ENV-049096,PAR-049096,60.2,Low,Not Required
ENV-049097,PAR-049097,457.5,Low,Not Required
ENV-049098,PAR-049098,207.9,Low,Approved
ENV-049099,PAR-049099,72.9,Low,Approved
ENV-049100,PAR-049100,87.9,Low,Approved
ENV-049101,PAR-049101,284.3,Medium,Not Required
ENV-049102,PAR-049102,30.8,Low,Pending
ENV-049103,PAR-049103,58.7,Low,Approved
ENV-049104,PAR-049104,166.1,High,Not Required
ENV-049105,PAR-049105,41.9,Low,Approved
ENV-049106,PAR-049106,58.2,High,Approved
ENV-049107,PAR-049107,33.2,Low,Not Required
ENV-049108,PAR-049108,106.8,Low,Not Required
ENV-049109,PAR-049109,655.9,Medium,Approved
ENV-049110,PAR-049110,538.6,Low,Not Required
ENV-049111,PAR-049111,534.3,Low,Approved
ENV-049112,PAR-049112,171.7,High,Not Required
ENV-049113,PAR-049113,170.6,Medium,Approved
ENV-049114,PAR-049114,16.2,Low,Approved
ENV-049115,PAR-049115,396.2,High,Not Required
ENV-049116,PAR-049116,46.6,Low,Approved
ENV-049117,PAR-049117,270.2,Low,Pending
ENV-049118,PAR-049118,152.9,Low,Not Required
ENV-049119,PAR-049119,88.4,High,Approved
ENV-049120,PAR-049120,659.3,Low,Approved
ENV-049121,PAR-049121,285.1,Medium,Approved
ENV-049122,PAR-049122,247.5,Medium,Pending
ENV-049123,PAR-049123,39.2,Low,Not Required
ENV-049124,PAR-049124,204.2,Medium,Approved
ENV-049125,PAR-049125,326.0,Low,Approved
ENV-049126,PAR-049126,62.1,Medium,Not Required
ENV-049127,PAR-049127,150.4,Medium,Not Required
ENV-049128,PAR-049128,212.8,Low,Approved
ENV-049129,PAR-049129,94.3,Low,Approved
ENV-049130,PAR-049130,399.0,Low,Not Required
ENV-049131,PAR-049131,442.9,Medium,Approved
ENV-049132,PAR-049132,886.7,Low,Not Required
ENV-049133,PAR-049133,144.7,Low,Not Required
ENV-049134,PAR-049134,228.4,Medium,Not Required
ENV-049135,PAR-049135,98.3,Low,Approved
ENV-049136,PAR-049136,89.6,High,Approved
ENV-049137,PAR-049137,102.2,Low,Approved
ENV-049138,PAR-049138,261.4,Low,Not Required
ENV-049139,PAR-049139,355.3,Low,Not Required
ENV-049140,PAR-049140,180.2,Low,Approved
ENV-049141,PAR-049141,286.3,Low,Approved
ENV-049142,PAR-049142,29.0,Medium,Not Required
ENV-049143,PAR-049143,355.8,High,Not Required
ENV-049144,PAR-049144,100.7,Medium,Not Required
ENV-049145,PAR-049145,111.0,Low,Not Required
ENV-049146,PAR-049146,93.6,Medium,Not Required
ENV-049147,PAR-049147,39.3,Medium,Not Required
ENV-049148,PAR-049148,219.9,Low,Not Required
ENV-049149,PAR-049149,24.3,Low,Approved
ENV-049150,PAR-049150,40.6,Low,Approved
ENV-049151,PAR-049151,283.3,Medium,Approved
ENV-049152,PAR-049152,681.8,Low,Pending
ENV-049153,PAR-049153,41.7,Low,Not Required
ENV-049154,PAR-049154,55.7,Low,Not Required
ENV-049155,PAR-049155,186.1,Medium,Not Required
ENV-049156,PAR-049156,30.0,Low,Approved
ENV-049157,PAR-049157,33.5,Low,Not Required
ENV-049158,PAR-049158,153.4,Medium,Pending
ENV-049159,PAR-049159,1336.2,Low,Not Required
ENV-049160,PAR-049160,30.6,Low,Not Required
ENV-049161,PAR-049161,1000.4,Medium,Approved
ENV-049162,PAR-049162,43.5,Low,Not Required
ENV-049163,PAR-049163,43.3,High,Not Required
ENV-049164,PAR-049164,204.6,Low,Approved
ENV-049165,PAR-049165,35.6,Low,Approved
ENV-049166,PAR-049166,188.0,Low,Not Required
ENV-049167,PAR-049167,311.3,Low,Not Required
ENV-049168,PAR-049168,344.4,Low,Not Required
ENV-049169,PAR-049169,96.6,Low,Not Required
ENV-049170,PAR-049170,478.4,Low,Approved
ENV-049171,PAR-049171,182.4,High,Approved
ENV-049172,PAR-049172,899.3,Low,Not Required
ENV-049173,PAR-049173,325.0,Low,Approved
ENV-049174,PAR-049174,95.6,Low,Not Required
ENV-049175,PAR-049175,176.4,Low,Not Required
ENV-049176,PAR-049176,62.2,Low,Not Required
ENV-049177,PAR-049177,248.7,Medium,Not Required
ENV-049178,PAR-049178,157.8,Low,Approved
ENV-049179,PAR-049179,308.1,Medium,Approved
ENV-049180,PAR-049180,149.9,High,Approved
ENV-049181,PAR-049181,420.8,Low,Not Required
ENV-049182,PAR-049182,73.4,Low,Not Required
ENV-049183,PAR-049183,130.2,Low,Not Required
ENV-049184,PAR-049184,182.3,Low,Not Required
ENV-049185,PAR-049185,203.0,Low,Not Required
ENV-049186,PAR-049186,760.9,Low,Not Required
ENV-049187,PAR-049187,87.2,Low,Not Required
ENV-049188,PAR-049188,179.9,Low,Approved
ENV-049189,PAR-049189,79.6,Medium,Approved
