response_id,project_id,stakeholder_type,response_time_days,responsiveness_score
RESP-037376,PRJ-02183,Project Manager,18,100.0
RESP-037377,PRJ-03402,RDO,11,89.3
RESP-037378,PRJ-02351,Landowner,5,69.7
RESP-037379,PRJ-04260,Revenue Officer,11,93.9
RESP-037380,PRJ-04049,Revenue Officer,31,90.6
RESP-037381,PRJ-01372,RDO,6,86.8
RESP-037382,PRJ-03635,RDO,8,85.8
RESP-037383,PRJ-01630,RDO,14,80.8
RESP-037384,PRJ-01123,Landowner,9,71.6
RESP-037385,PRJ-02253,Landowner,20,90.2
RESP-037386,PRJ-04111,Contractor,11,73.5
RESP-037387,PRJ-01757,Contractor,7,95.6
RESP-037388,PRJ-04889,Revenue Officer,5,88.7
RESP-037389,PRJ-02883,Project Manager,8,91.3
RESP-037390,PRJ-04079,Revenue Officer,13,75.9
RESP-037391,PRJ-03254,Project Manager,20,89.0
RESP-037392,PRJ-00243,RDO,8,100.0
RESP-037393,PRJ-03712,Project Manager,21,77.3
RESP-037394,PRJ-03487,Landowner,7,98.7
RESP-037395,PRJ-00647,Landowner,14,64.6
RESP-037396,PRJ-04191,Revenue Officer,16,69.6
RESP-037397,PRJ-02792,Revenue Officer,17,96.3
RESP-037398,PRJ-02343,Revenue Officer,5,99.0
RESP-037399,PRJ-00930,Landowner,8,90.8
RESP-037400,PRJ-03761,Landowner,16,69.1
RESP-037401,PRJ-04110,Landowner,6,100.0
RESP-037402,PRJ-04552,RDO,16,100.0
RESP-037403,PRJ-04644,Landowner,16,100.0
RESP-037404,PRJ-03051,Landowner,20,88.3
RESP-037405,PRJ-03400,Revenue Officer,14,70.3
RESP-037406,PRJ-01567,Landowner,12,67.5
RESP-037407,PRJ-01523,Revenue Officer,3,95.7
RESP-037408,PRJ-01069,Contractor,11,84.8
RESP-037409,PRJ-00562,Project Manager,3,100.0
RESP-037410,PRJ-03352,Contractor,15,81.7
RESP-037411,PRJ-01215,Project Manager,29,100.0
RESP-037412,PRJ-04858,Landowner,17,94.7
RESP-037413,PRJ-03653,Landowner,11,81.8
RESP-037414,PRJ-01166,Project Manager,7,72.9
RESP-037415,PRJ-04622,Landowner,48,91.9
RESP-037416,PRJ-00981,Revenue Officer,8,58.6
RESP-037417,PRJ-02171,Revenue Officer,6,98.9
RESP-037418,PRJ-01401,Contractor,8,100.0
RESP-037419,PRJ-01388,RDO,13,93.1
RESP-037420,PRJ-04594,Landowner,21,91.7
RESP-037421,PRJ-04770,Revenue Officer,7,84.3
RESP-037422,PRJ-02222,Revenue Officer,11,67.0
RESP-037423,PRJ-02645,RDO,12,77.5
RESP-037424,PRJ-03362,Contractor,19,83.9
RESP-037425,PRJ-02833,Revenue Officer,18,76.2
RESP-037426,PRJ-01684,Revenue Officer,7,94.8
RESP-037427,PRJ-01317,Revenue Officer,15,79.3
RESP-037428,PRJ-04759,Project Manager,29,78.4
RESP-037429,PRJ-02095,Revenue Officer,14,95.2
RESP-037430,PRJ-00604,Contractor,8,86.0
RESP-037431,PRJ-03850,Landowner,7,74.2
RESP-037432,PRJ-01169,Landowner,9,100.0
RESP-037433,PRJ-03971,Contractor,14,100.0
RESP-037434,PRJ-00967,Revenue Officer,5,100.0
RESP-037435,PRJ-04276,Project Manager,10,97.8
RESP-037436,PRJ-01258,Landowner,6,91.0
RESP-037437,PRJ-01140,Revenue Officer,7,96.7
RESP-037438,PRJ-01591,Project Manager,14,77.9
RESP-037439,PRJ-03633,Revenue Officer,9,79.6
RESP-037440,PRJ-00068,Project Manager,12,97.5
RESP-037441,PRJ-01706,Landowner,17,100.0
RESP-037442,PRJ-01645,Contractor,7,98.5
RESP-037443,PRJ-02933,RDO,9,90.7
RESP-037444,PRJ-02106,RDO,13,88.5
RESP-037445,PRJ-02524,Project Manager,11,95.1
RESP-037446,PRJ-04611,Project Manager,6,82.8
RESP-037447,PRJ-03465,Landowner,19,69.0
RESP-037448,PRJ-00275,Revenue Officer,12,92.4
RESP-037449,PRJ-01745,Contractor,5,89.9
RESP-037450,PRJ-01356,Revenue Officer,11,100.0
RESP-037451,PRJ-02302,Contractor,6,79.0
RESP-037452,PRJ-00647,Landowner,9,98.8
RESP-037453,PRJ-02987,Revenue Officer,19,64.0
RESP-037454,PRJ-03092,Revenue Officer,7,78.8
RESP-037455,PRJ-00055,Project Manager,5,92.9
RESP-037456,PRJ-01310,Project Manager,8,84.5
RESP-037457,PRJ-03532,RDO,26,88.9
RESP-037458,PRJ-03224,Revenue Officer,43,94.8
RESP-037459,PRJ-01136,Contractor,8,89.6
RESP-037460,PRJ-04847,Revenue Officer,9,70.0
RESP-037461,PRJ-03985,Landowner,4,76.4
RESP-037462,PRJ-00847,Project Manager,19,85.7
RESP-037463,PRJ-03244,Revenue Officer,14,98.9
RESP-037464,PRJ-02111,Landowner,14,100.0
RESP-037465,PRJ-01050,Project Manager,20,83.4
RESP-037466,PRJ-01510,RDO,17,79.4
RESP-037467,PRJ-01410,Project Manager,3,92.6
RESP-037468,PRJ-02451,Contractor,13,81.6
RESP-037469,PRJ-04168,Project Manager,16,97.6
RESP-037470,PRJ-00882,Contractor,21,98.4
RESP-037471,PRJ-00620,Project Manager,21,78.9
RESP-037472,PRJ-00488,Revenue Officer,8,100.0
RESP-037473,PRJ-00564,Project Manager,32,88.1
RESP-037474,PRJ-04862,Revenue Officer,23,74.3
RESP-037475,PRJ-02226,Project Manager,12,76.4
RESP-037476,PRJ-01796,Contractor,5,94.0
RESP-037477,PRJ-00574,Contractor,5,87.5
RESP-037478,PRJ-00426,RDO,10,66.4
RESP-037479,PRJ-00854,Revenue Officer,15,72.1
RESP-037480,PRJ-01174,RDO,3,86.5
RESP-037481,PRJ-00476,Contractor,15,85.4
RESP-037482,PRJ-00455,Project Manager,8,100.0
RESP-037483,PRJ-04265,RDO,17,50.2
RESP-037484,PRJ-04814,RDO,22,85.8
RESP-037485,PRJ-00688,Project Manager,15,100.0
RESP-037486,PRJ-01307,RDO,37,79.2
RESP-037487,PRJ-01789,Contractor,2,100.0
RESP-037488,PRJ-01901,Revenue Officer,19,87.2
RESP-037489,PRJ-01031,Revenue Officer,6,88.3
RESP-037490,PRJ-03014,Project Manager,31,93.2
RESP-037491,PRJ-03847,Revenue Officer,13,70.4
RESP-037492,PRJ-01142,Revenue Officer,12,100.0
RESP-037493,PRJ-00256,Landowner,14,100.0
RESP-037494,PRJ-04951,Landowner,7,37.8
RESP-037495,PRJ-03849,Contractor,4,100.0
RESP-037496,PRJ-01926,Project Manager,3,93.5
RESP-037497,PRJ-04572,Contractor,14,84.9
RESP-037498,PRJ-02810,Project Manager,3,93.3
RESP-037499,PRJ-02844,Project Manager,27,78.1
RESP-037500,PRJ-02353,Project Manager,6,90.0
RESP-037501,PRJ-04121,Project Manager,16,99.5
RESP-037502,PRJ-03039,Landowner,21,78.3
RESP-037503,PRJ-01728,Project Manager,22,79.0
RESP-037504,PRJ-00069,Contractor,26,98.5
RESP-037505,PRJ-00025,Contractor,5,63.7
RESP-037506,PRJ-03291,Landowner,10,60.3
RESP-037507,PRJ-00097,Contractor,12,96.7
RESP-037508,PRJ-04154,Project Manager,2,89.0
RESP-037509,PRJ-01803,Contractor,7,64.7
RESP-037510,PRJ-02802,Landowner,3,91.1
RESP-037511,PRJ-04694,Revenue Officer,15,87.5
RESP-037512,PRJ-01303,RDO,9,99.2
RESP-037513,PRJ-03075,Contractor,18,100.0
RESP-037514,PRJ-00192,Project Manager,12,73.0
RESP-037515,PRJ-04362,Landowner,16,95.4
RESP-037516,PRJ-01410,Project Manager,7,86.7
RESP-037517,PRJ-00795,Landowner,13,72.1
RESP-037518,PRJ-03715,Landowner,6,93.0
RESP-037519,PRJ-02014,Revenue Officer,31,100.0
RESP-037520,PRJ-02901,Project Manager,21,77.9
RESP-037521,PRJ-00666,Revenue Officer,6,91.4
RESP-037522,PRJ-03575,Project Manager,12,96.2
RESP-037523,PRJ-00524,RDO,6,95.0
RESP-037524,PRJ-01452,Landowner,16,100.0
RESP-037525,PRJ-04655,Contractor,24,78.7
RESP-037526,PRJ-00503,Project Manager,4,93.4
RESP-037527,PRJ-02475,RDO,7,99.7
RESP-037528,PRJ-00262,Revenue Officer,9,100.0
RESP-037529,PRJ-00784,Contractor,6,80.1
RESP-037530,PRJ-03950,RDO,14,87.3
RESP-037531,PRJ-04311,Revenue Officer,16,92.4
RESP-037532,PRJ-01721,Project Manager,18,90.8
RESP-037533,PRJ-03709,Contractor,7,94.2
RESP-037534,PRJ-03429,Revenue Officer,7,100.0
RESP-037535,PRJ-01409,Project Manager,17,76.6
RESP-037536,PRJ-04440,Landowner,22,82.5
RESP-037537,PRJ-02931,Project Manager,18,69.3
RESP-037538,PRJ-00466,Revenue Officer,13,77.4
RESP-037539,PRJ-01299,Revenue Officer,6,81.8
RESP-037540,PRJ-00928,Contractor,11,86.7
RESP-037541,PRJ-03859,Landowner,6,71.4
RESP-037542,PRJ-04182,Contractor,23,100.0
RESP-037543,PRJ-03276,RDO,8,92.1
RESP-037544,PRJ-03813,RDO,9,100.0
RESP-037545,PRJ-01550,Contractor,3,100.0
RESP-037546,PRJ-00859,Landowner,14,91.1
RESP-037547,PRJ-02303,Contractor,8,91.5
RESP-037548,PRJ-02683,Contractor,19,100.0
RESP-037549,PRJ-01567,Contractor,11,81.6
RESP-037550,PRJ-03906,Contractor,4,94.4
RESP-037551,PRJ-01559,Revenue Officer,11,100.0
RESP-037552,PRJ-01423,Contractor,4,98.6
RESP-037553,PRJ-04017,RDO,11,92.3
RESP-037554,PRJ-00417,Landowner,11,94.1
RESP-037555,PRJ-02552,Contractor,7,79.6
RESP-037556,PRJ-00018,Revenue Officer,15,77.3
RESP-037557,PRJ-00448,Landowner,16,81.8
RESP-037558,PRJ-02760,Revenue Officer,9,61.8
RESP-037559,PRJ-00792,Revenue Officer,17,67.7
RESP-037560,PRJ-01072,Landowner,9,83.9
RESP-037561,PRJ-02264,Landowner,4,90.9
RESP-037562,PRJ-01701,RDO,5,100.0
RESP-037563,PRJ-04624,Contractor,15,81.2
RESP-037564,PRJ-03112,Revenue Officer,9,85.9
RESP-037565,PRJ-03825,Landowner,18,93.6
RESP-037566,PRJ-03051,Landowner,17,99.9
RESP-037567,PRJ-04118,Contractor,6,91.0
RESP-037568,PRJ-00625,RDO,5,81.2
RESP-037569,PRJ-02197,Revenue Officer,12,95.5
RESP-037570,PRJ-00468,Landowner,34,75.5
RESP-037571,PRJ-01855,Project Manager,2,100.0
RESP-037572,PRJ-03548,Landowner,15,79.6
RESP-037573,PRJ-02085,RDO,4,100.0
RESP-037574,PRJ-02884,Landowner,6,94.4
RESP-037575,PRJ-04145,Contractor,8,100.0
RESP-037576,PRJ-02958,Revenue Officer,20,71.8
RESP-037577,PRJ-00903,Revenue Officer,6,83.6
RESP-037578,PRJ-01447,Project Manager,9,71.5
RESP-037579,PRJ-01576,Project Manager,13,85.9
RESP-037580,PRJ-00102,Revenue Officer,11,100.0
RESP-037581,PRJ-03206,Contractor,15,86.5
RESP-037582,PRJ-00846,Revenue Officer,16,65.0
RESP-037583,PRJ-04492,Landowner,11,83.7
RESP-037584,PRJ-04445,Revenue Officer,26,97.2
RESP-037585,PRJ-02492,Project Manager,6,88.0
RESP-037586,PRJ-01049,Contractor,24,79.3
RESP-037587,PRJ-04565,Landowner,15,79.0
RESP-037588,PRJ-04768,RDO,7,91.1
RESP-037589,PRJ-02715,Contractor,6,87.5
RESP-037590,PRJ-00567,Project Manager,22,92.5
RESP-037591,PRJ-00759,Project Manager,2,100.0
RESP-037592,PRJ-03240,Revenue Officer,18,95.9
RESP-037593,PRJ-00528,RDO,4,80.1
RESP-037594,PRJ-02766,RDO,7,92.1
RESP-037595,PRJ-02340,RDO,11,85.3
RESP-037596,PRJ-01495,Contractor,11,80.6
RESP-037597,PRJ-00207,RDO,9,91.7
RESP-037598,PRJ-00991,RDO,12,100.0
RESP-037599,PRJ-03830,RDO,28,86.2
RESP-037600,PRJ-03336,RDO,9,71.2
RESP-037601,PRJ-01882,Contractor,3,86.8
RESP-037602,PRJ-01800,Landowner,3,93.1
RESP-037603,PRJ-03308,RDO,16,92.1
RESP-037604,PRJ-03658,Project Manager,26,93.7
RESP-037605,PRJ-03085,RDO,11,80.7
RESP-037606,PRJ-00209,Landowner,33,90.1
RESP-037607,PRJ-02235,Landowner,24,75.6
RESP-037608,PRJ-04345,Revenue Officer,14,91.2
RESP-037609,PRJ-03017,RDO,12,96.1
RESP-037610,PRJ-00329,RDO,11,100.0
RESP-037611,PRJ-02022,Project Manager,13,87.7
RESP-037612,PRJ-04165,Landowner,7,76.0
RESP-037613,PRJ-00071,RDO,4,100.0
RESP-037614,PRJ-02780,Project Manager,8,100.0
RESP-037615,PRJ-01612,Contractor,7,82.6
RESP-037616,PRJ-03984,Revenue Officer,13,89.0
RESP-037617,PRJ-02983,Landowner,12,76.0
RESP-037618,PRJ-04619,Project Manager,12,77.2
RESP-037619,PRJ-04546,Revenue Officer,12,80.2
RESP-037620,PRJ-03246,Project Manager,47,100.0
RESP-037621,PRJ-03231,Landowner,8,97.4
RESP-037622,PRJ-04279,Landowner,9,93.8
RESP-037623,PRJ-00791,Landowner,5,100.0
RESP-037624,PRJ-03551,RDO,8,90.8
RESP-037625,PRJ-00724,RDO,13,74.6
RESP-037626,PRJ-03893,Contractor,28,90.9
RESP-037627,PRJ-03024,Revenue Officer,33,75.7
RESP-037628,PRJ-03207,Project Manager,4,86.0
RESP-037629,PRJ-04226,RDO,10,74.4
RESP-037630,PRJ-01787,RDO,14,89.1
RESP-037631,PRJ-02958,Revenue Officer,14,82.6
RESP-037632,PRJ-01952,Project Manager,10,89.3
RESP-037633,PRJ-03008,Contractor,19,100.0
RESP-037634,PRJ-01478,RDO,13,88.7
RESP-037635,PRJ-03904,RDO,23,100.0
RESP-037636,PRJ-04453,Project Manager,17,100.0
RESP-037637,PRJ-02940,RDO,7,74.7
RESP-037638,PRJ-02361,RDO,3,84.8
RESP-037639,PRJ-02398,RDO,8,80.6
RESP-037640,PRJ-04277,Project Manager,11,59.6
RESP-037641,PRJ-02905,RDO,15,87.3
RESP-037642,PRJ-03609,Landowner,17,84.6
RESP-037643,PRJ-02041,Revenue Officer,7,100.0
RESP-037644,PRJ-04738,Project Manager,11,94.5
RESP-037645,PRJ-03515,Contractor,5,100.0
RESP-037646,PRJ-02125,Project Manager,10,100.0
RESP-037647,PRJ-00958,Contractor,20,83.1
RESP-037648,PRJ-00055,RDO,13,73.5
RESP-037649,PRJ-01185,RDO,10,88.8
RESP-037650,PRJ-00961,Landowner,5,90.2
RESP-037651,PRJ-01526,Project Manager,18,95.2
RESP-037652,PRJ-01376,Landowner,7,86.0
RESP-037653,PRJ-02385,Revenue Officer,8,83.3
RESP-037654,PRJ-00399,Contractor,2,73.2
RESP-037655,PRJ-02722,Revenue Officer,31,91.7
RESP-037656,PRJ-03890,Revenue Officer,13,78.3
RESP-037657,PRJ-03182,Revenue Officer,9,92.1
RESP-037658,PRJ-01249,Project Manager,13,76.5
RESP-037659,PRJ-03265,Contractor,17,79.7
RESP-037660,PRJ-01146,Contractor,5,79.3
RESP-037661,PRJ-03946,Landowner,2,91.5
RESP-037662,PRJ-03387,Contractor,21,79.5
RESP-037663,PRJ-04775,Contractor,5,100.0
RESP-037664,PRJ-00495,Landowner,19,75.6
RESP-037665,PRJ-00591,Landowner,5,89.3
RESP-037666,PRJ-00326,Landowner,8,61.8
RESP-037667,PRJ-02887,Landowner,7,83.8
RESP-037668,PRJ-00500,Revenue Officer,14,86.4
RESP-037669,PRJ-02612,Contractor,6,68.0
RESP-037670,PRJ-00846,Project Manager,20,85.3
RESP-037671,PRJ-04661,Contractor,9,86.6
RESP-037672,PRJ-03741,Project Manager,41,62.8
RESP-037673,PRJ-00278,Revenue Officer,14,98.7
RESP-037674,PRJ-01650,RDO,14,82.7
RESP-037675,PRJ-02446,RDO,12,59.4
RESP-037676,PRJ-04963,RDO,10,70.9
RESP-037677,PRJ-00705,RDO,12,70.0
RESP-037678,PRJ-02776,RDO,7,71.9
RESP-037679,PRJ-00232,Landowner,14,94.6
RESP-037680,PRJ-01107,Landowner,5,93.0
RESP-037681,PRJ-01276,Revenue Officer,23,79.4
RESP-037682,PRJ-02519,Contractor,21,92.6
RESP-037683,PRJ-03763,RDO,5,93.5
RESP-037684,PRJ-03508,RDO,12,96.0
RESP-037685,PRJ-00778,RDO,6,94.6
RESP-037686,PRJ-01178,Contractor,4,83.6
RESP-037687,PRJ-00665,Contractor,13,51.8
RESP-037688,PRJ-01137,Revenue Officer,1,100.0
RESP-037689,PRJ-04174,Landowner,13,88.3
RESP-037690,PRJ-03762,RDO,8,98.7
RESP-037691,PRJ-01326,Contractor,15,80.2
RESP-037692,PRJ-03809,Contractor,9,99.9
RESP-037693,PRJ-04388,RDO,15,91.2
RESP-037694,PRJ-00557,Revenue Officer,32,93.8
RESP-037695,PRJ-03540,Project Manager,9,100.0
RESP-037696,PRJ-01975,Revenue Officer,8,78.2
RESP-037697,PRJ-03996,Landowner,7,94.7
RESP-037698,PRJ-03688,Project Manager,9,74.7
RESP-037699,PRJ-04384,Landowner,12,70.4
RESP-037700,PRJ-01848,Landowner,23,100.0
RESP-037701,PRJ-03648,Landowner,28,93.7
RESP-037702,PRJ-01055,Revenue Officer,4,85.9
RESP-037703,PRJ-03129,Contractor,20,74.0
RESP-037704,PRJ-03405,Landowner,12,94.9
RESP-037705,PRJ-03169,Contractor,22,76.8
RESP-037706,PRJ-00574,Project Manager,21,99.6
RESP-037707,PRJ-04848,Landowner,9,88.4
RESP-037708,PRJ-01577,Contractor,7,84.9
RESP-037709,PRJ-00291,Landowner,9,81.1
RESP-037710,PRJ-00030,Project Manager,12,81.4
RESP-037711,PRJ-02571,Landowner,11,90.8
RESP-037712,PRJ-04197,Revenue Officer,10,100.0
RESP-037713,PRJ-00503,RDO,8,94.4
RESP-037714,PRJ-03318,Contractor,7,93.2
RESP-037715,PRJ-03307,Revenue Officer,21,99.3
RESP-037716,PRJ-04511,Revenue Officer,10,59.7
RESP-037717,PRJ-04747,Revenue Officer,3,87.0
RESP-037718,PRJ-04664,RDO,21,100.0
RESP-037719,PRJ-03020,Landowner,9,89.8
RESP-037720,PRJ-00158,Project Manager,26,84.7
RESP-037721,PRJ-02023,Project Manager,16,87.0
RESP-037722,PRJ-01732,Landowner,6,100.0
RESP-037723,PRJ-04541,RDO,11,92.1
RESP-037724,PRJ-03268,Revenue Officer,11,82.7
RESP-037725,PRJ-04260,Project Manager,12,79.3
RESP-037726,PRJ-00233,Contractor,6,90.7
RESP-037727,PRJ-04037,Contractor,19,97.6
RESP-037728,PRJ-01268,Contractor,13,85.0
RESP-037729,PRJ-02907,Project Manager,6,98.0
RESP-037730,PRJ-03649,Contractor,10,96.8
RESP-037731,PRJ-00286,Revenue Officer,10,100.0
RESP-037732,PRJ-03774,Contractor,7,95.8
RESP-037733,PRJ-03278,Contractor,19,93.9
RESP-037734,PRJ-01206,Project Manager,3,100.0
RESP-037735,PRJ-02889,Landowner,5,100.0
RESP-037736,PRJ-04054,Contractor,14,100.0
RESP-037737,PRJ-04971,Contractor,4,79.7
RESP-037738,PRJ-04805,Landowner,4,82.5
RESP-037739,PRJ-04200,Contractor,19,78.1
RESP-037740,PRJ-04470,RDO,18,76.6
RESP-037741,PRJ-02626,Landowner,4,100.0
RESP-037742,PRJ-02106,Revenue Officer,26,81.5
RESP-037743,PRJ-01713,RDO,16,89.5
RESP-037744,PRJ-00704,Revenue Officer,8,98.9
RESP-037745,PRJ-01910,RDO,11,85.1
RESP-037746,PRJ-01004,Contractor,14,71.8
RESP-037747,PRJ-01284,Project Manager,18,92.4
RESP-037748,PRJ-01358,Contractor,12,91.5
RESP-037749,PRJ-01391,Project Manager,8,66.1
RESP-037750,PRJ-01786,Contractor,9,91.7
RESP-037751,PRJ-02444,Revenue Officer,15,78.6
RESP-037752,PRJ-04090,Project Manager,17,100.0
RESP-037753,PRJ-00770,RDO,21,91.9
RESP-037754,PRJ-00656,Contractor,9,89.9
RESP-037755,PRJ-02993,RDO,8,79.5
RESP-037756,PRJ-00816,Landowner,7,69.0
RESP-037757,PRJ-03727,Revenue Officer,16,94.3
RESP-037758,PRJ-04365,RDO,4,83.7
RESP-037759,PRJ-02355,Contractor,18,91.5
RESP-037760,PRJ-02766,Landowner,10,80.4
RESP-037761,PRJ-01408,Landowner,9,100.0
RESP-037762,PRJ-00019,RDO,15,82.0
RESP-037763,PRJ-04248,Landowner,13,87.4
RESP-037764,PRJ-02930,Contractor,11,100.0
RESP-037765,PRJ-04505,Project Manager,29,85.0
RESP-037766,PRJ-00601,Landowner,7,67.8
RESP-037767,PRJ-00791,Project Manager,17,100.0
RESP-037768,PRJ-00482,Contractor,14,83.5
RESP-037769,PRJ-03894,Landowner,21,100.0
RESP-037770,PRJ-01555,RDO,7,91.5
RESP-037771,PRJ-00327,RDO,4,84.2
RESP-037772,PRJ-02624,Contractor,15,100.0
RESP-037773,PRJ-04421,RDO,20,82.6
RESP-037774,PRJ-04966,Revenue Officer,5,88.8
RESP-037775,PRJ-02872,Landowner,9,100.0
RESP-037776,PRJ-04065,Landowner,3,100.0
RESP-037777,PRJ-03803,Revenue Officer,3,98.7
RESP-037778,PRJ-01696,Revenue Officer,8,97.5
RESP-037779,PRJ-04757,Project Manager,6,89.3
RESP-037780,PRJ-03316,Project Manager,17,100.0
RESP-037781,PRJ-03056,Revenue Officer,19,96.1
RESP-037782,PRJ-03202,Landowner,9,95.6
RESP-037783,PRJ-04358,Project Manager,4,75.0
RESP-037784,PRJ-00119,Landowner,21,94.3
RESP-037785,PRJ-01553,Landowner,6,100.0
RESP-037786,PRJ-01833,Contractor,4,78.2
RESP-037787,PRJ-03920,Contractor,4,76.4
RESP-037788,PRJ-00702,RDO,5,86.2
RESP-037789,PRJ-00326,Revenue Officer,18,100.0
RESP-037790,PRJ-04077,Revenue Officer,13,83.3
RESP-037791,PRJ-01107,Landowner,9,100.0
RESP-037792,PRJ-02230,Contractor,3,71.1
RESP-037793,PRJ-04181,Revenue Officer,7,100.0
RESP-037794,PRJ-01476,Contractor,6,74.3
RESP-037795,PRJ-03082,Landowner,17,90.1
RESP-037796,PRJ-03601,Contractor,18,100.0
RESP-037797,PRJ-03099,Landowner,10,85.7
RESP-037798,PRJ-02920,Revenue Officer,10,82.4
RESP-037799,PRJ-03059,Project Manager,7,85.1
RESP-037800,PRJ-02141,RDO,19,96.7
RESP-037801,PRJ-02673,RDO,14,100.0
RESP-037802,PRJ-01774,RDO,9,95.8
RESP-037803,PRJ-02716,Revenue Officer,10,69.7
RESP-037804,PRJ-03300,Landowner,18,78.8
RESP-037805,PRJ-02616,Contractor,14,88.7
RESP-037806,PRJ-00577,Contractor,20,92.1
RESP-037807,PRJ-00260,Revenue Officer,13,87.0
RESP-037808,PRJ-00827,Contractor,11,87.3
RESP-037809,PRJ-03004,Contractor,19,92.5
RESP-037810,PRJ-03555,Project Manager,6,100.0
RESP-037811,PRJ-03281,Project Manager,4,90.2
RESP-037812,PRJ-01489,Revenue Officer,29,92.2
RESP-037813,PRJ-03087,Landowner,5,95.3
RESP-037814,PRJ-00969,Contractor,22,73.8
RESP-037815,PRJ-03795,Project Manager,26,100.0
RESP-037816,PRJ-02220,RDO,3,90.7
RESP-037817,PRJ-00810,Project Manager,18,100.0
RESP-037818,PRJ-03932,Landowner,6,81.8
RESP-037819,PRJ-03320,Contractor,31,82.1
RESP-037820,PRJ-03330,Contractor,40,91.8
RESP-037821,PRJ-00029,Project Manager,12,99.4
RESP-037822,PRJ-04441,Contractor,17,85.2
RESP-037823,PRJ-02567,RDO,7,79.0
RESP-037824,PRJ-01297,Contractor,16,84.3
RESP-037825,PRJ-04645,Project Manager,7,63.8
RESP-037826,PRJ-02608,Revenue Officer,22,72.1
RESP-037827,PRJ-01141,Project Manager,23,97.1
RESP-037828,PRJ-04797,Landowner,14,100.0
RESP-037829,PRJ-00506,Landowner,21,71.2
RESP-037830,PRJ-01880,Project Manager,20,76.2
RESP-037831,PRJ-02351,Contractor,2,76.8
RESP-037832,PRJ-04704,RDO,4,77.3
RESP-037833,PRJ-02861,Contractor,17,78.0
RESP-037834,PRJ-04662,Contractor,9,91.0
RESP-037835,PRJ-00808,Landowner,6,82.8
RESP-037836,PRJ-02792,Project Manager,10,77.0
RESP-037837,PRJ-02705,RDO,4,91.2
RESP-037838,PRJ-01436,Contractor,11,89.1
RESP-037839,PRJ-00514,Project Manager,4,84.2
RESP-037840,PRJ-04403,Contractor,8,92.3
RESP-037841,PRJ-01935,Project Manager,12,90.8
RESP-037842,PRJ-03430,Contractor,15,92.0
RESP-037843,PRJ-00388,RDO,9,82.4
RESP-037844,PRJ-04426,Contractor,9,82.9
RESP-037845,PRJ-01806,Project Manager,36,86.6
RESP-037846,PRJ-00224,Contractor,7,65.1
RESP-037847,PRJ-00488,Project Manager,22,98.7
RESP-037848,PRJ-00692,Contractor,11,85.6
RESP-037849,PRJ-03978,Landowner,5,88.7
RESP-037850,PRJ-02139,Revenue Officer,7,97.9
RESP-037851,PRJ-01113,Project Manager,4,97.5
RESP-037852,PRJ-01827,Contractor,2,100.0
RESP-037853,PRJ-03654,Revenue Officer,13,100.0
RESP-037854,PRJ-01226,Contractor,6,85.2
RESP-037855,PRJ-01668,Contractor,12,89.0
RESP-037856,PRJ-04770,Revenue Officer,5,69.8
RESP-037857,PRJ-00796,Contractor,31,79.9
RESP-037858,PRJ-04077,Landowner,11,100.0
RESP-037859,PRJ-02063,Revenue Officer,13,81.4
RESP-037860,PRJ-03563,RDO,11,79.5
RESP-037861,PRJ-00743,Contractor,14,77.3
RESP-037862,PRJ-00797,Landowner,8,100.0
RESP-037863,PRJ-00492,Revenue Officer,12,92.5
RESP-037864,PRJ-04017,Project Manager,11,89.9
RESP-037865,PRJ-00276,Revenue Officer,7,71.0
RESP-037866,PRJ-01437,Project Manager,11,80.9
RESP-037867,PRJ-00106,RDO,6,81.1
RESP-037868,PRJ-00340,Landowner,18,73.7
RESP-037869,PRJ-02172,Landowner,13,89.1
RESP-037870,PRJ-01506,Project Manager,12,98.7
RESP-037871,PRJ-02944,Revenue Officer,6,99.9
RESP-037872,PRJ-04799,Revenue Officer,14,81.6
RESP-037873,PRJ-00548,Revenue Officer,13,83.7
RESP-037874,PRJ-00990,Revenue Officer,6,63.0
RESP-037875,PRJ-00460,Contractor,21,73.9
RESP-037876,PRJ-00421,Project Manager,9,100.0
RESP-037877,PRJ-01910,Contractor,5,90.3
RESP-037878,PRJ-02523,Revenue Officer,13,73.8
RESP-037879,PRJ-01821,Landowner,15,99.3
RESP-037880,PRJ-04434,Project Manager,3,96.5
RESP-037881,PRJ-04500,Revenue Officer,23,82.2
RESP-037882,PRJ-03412,Project Manager,13,72.5
RESP-037883,PRJ-04078,Revenue Officer,13,97.3
RESP-037884,PRJ-02964,Revenue Officer,26,100.0
RESP-037885,PRJ-04179,Project Manager,17,100.0
RESP-037886,PRJ-02051,RDO,18,79.6
RESP-037887,PRJ-02981,Contractor,20,100.0
RESP-037888,PRJ-03204,Revenue Officer,9,82.4
RESP-037889,PRJ-02896,RDO,5,89.2
RESP-037890,PRJ-01953,Project Manager,11,87.5
RESP-037891,PRJ-04067,Project Manager,17,73.4
RESP-037892,PRJ-03950,Landowner,12,75.5
RESP-037893,PRJ-01551,Project Manager,22,91.2
RESP-037894,PRJ-04075,Revenue Officer,8,95.0
RESP-037895,PRJ-04007,Project Manager,13,100.0
RESP-037896,PRJ-02044,RDO,7,99.3
RESP-037897,PRJ-04827,Revenue Officer,28,53.1
RESP-037898,PRJ-01543,RDO,11,75.8
